"Organization Name",Address,"NLRB Case Numbers","Petition File Date","Vote Count Date","Election Yes Votes","Election No Votes","Election Challenged Votes",Percentage,"Store Organizing Status",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"California (CA) : Southern California : 2nd & Covina - 579","5251 E 2nd St, Long Beach CA 90803-5327",21-RC-293881,4/11/2022,6/21/2022,3,5,0,37.5,"Lost election",33.760086,-118.133635,1,rooftop,5251,"E 2nd St",,,"Long Beach",CA,"Los Angeles County",90803,US,"Los Angeles (Los Angeles County)"
"California (CA) : Southern California : Arlington & Brockton - 2892","3707 Arlington Ave, Riverside CA 92506-2608",21-RC-309082,12/16/2022,1/24/2023,9,15,,37.5,"Lost election",33.946447,-117.397048,1,rooftop,3707,"Arlington Ave",,,Riverside,CA,"Riverside County",92506,US,"City of Riverside"
"California (CA) : Southern California : Brookhurst & Stanford - 17416","12711 Brookhurst St, Garden Grove CA 92840-4810",21-RC-297661,6/15/2022,9/1/2022,9,9,0,50,"Lost election",33.778004,-117.95823,1,rooftop,12711,"Brookhurst St",,,"Garden Grove",CA,"Orange County",92840,US,"City of Garden Grove"
"California (CA) : Southern California : Citrus & Rowland - 5583","611 S Citrus Ave, Covina CA 91723-3416",21-RC-293882,4/11/2022,6/21/2022,7,10,0,41.17647059,"Lost election",34.078661,-117.890536,1,rooftop,611,"S Citrus Ave",,,Covina,CA,"Los Angeles County",91723,US,"Los Angeles (Los Angeles County)"
"California (CA) : Southern California : Foothill & Arroyo - 58660","12980 Foothill Blvd, Sylmar CA 91342-4956",31-RC-296066,5/18/2022,7/6/2022,7,15,,31.81818182,"Contested Election",34.295694,-118.418103,1,rooftop,12980,"Foothill Blvd",,,Sylmar,CA,"Los Angeles County",91342,US,"Los Angeles (Los Angeles County)"
"California (CA) : Southern California : Herndon Ave & Marks - 28904","7010 N Marks Ave Ste 105, Fresno CA 93711-0285",32-RC-294940,4/29/2022,7/11/2022,0,14,0,0,"Lost election",36.837701,-119.847061,1,rooftop,7010,"N Marks Ave",Ste,105,Fresno,CA,"Fresno County",93711,US,"Fresno (Fresno County)"
"California (CA) : Southern California : Hollister & Storke-Goleta - 5766","7030 Market Place Dr, Goleta CA 93117-5900",31-RC-294436,4/20/2022,6/24/2022,5,7,1,41.66666667,"Lost election",34.428872,-119.873563,1,range_interpolation,7030,"Market Place Dr",,,Goleta,CA,"Santa Barbara County",93117,US,"TIGER/Line® dataset from the US Census Bureau"
"California (CA) : Southern California : Katella & Los Alamitos - 10810","3575 Katella Ave, Los Alamitos CA 90720-3103",21-RC-292423,3/16/2022,5/23/2022,2,11,0,15.38461538,"Lost election",33.803375,-118.070902,1,rooftop,3575,"Katella Ave",,,"Los Alamitos",CA,"Orange County",90720,US,"Orange (CC0 1.0)"
"California (CA) : Southern California : Mason & Lassen - 49449","9857 Mason Ave, Chatsworth CA 91311-5212",31-RC-289988,2/2/2022,6/29/2022,6,9,1,40,"Lost election",34.24955,-118.58012,1,rooftop,9857,"N Mason Ave",,,Chatsworth,CA,"Los Angeles County",91311,US,"City of Los Angeles (CC0 1.0)"
"California (CA) : Southern California : Victory & Empire - 5870","1711 N Victory Pl, Burbank CA 91502-1646",31-RC-299294,7/13/2022,9/20/2022,5,6,,45.45454545,"Lost election",34.191243,-118.328433,0.99,rooftop,1711,"N Victory Pl S",,,Burbank,CA,"Los Angeles County",91504,US,"City of Burbank"
"Colorado (CO) : Academy & Flintridge-Colorado Spri - 10897","4825 N Academy Blvd, Colorado Springs CO 80918-4121",27-RC-292261,3/15/2022,5/19/2022,10,10,,50,"Contested Election",38.902221,-104.768681,1,rooftop,4825,"N Academy Blvd",,,"Colorado Springs",CO,"El Paso County",80918,US,"El Paso"
"Colorado (CO) : Belleview & Prince- Littleton - 13490","2600 W Belleview Ave Ste 100, Littleton CO 80123-7191",27-RC-319024,5/31/2023,7/13/2023,9,9,,50,"Lost election",39.623702,-105.019396,1,rooftop,2600,"W Belleview Ave",Ste,100,Littleton,CO,"Arapahoe County",80123,US,"Arapahoe (Arapahoe County)"
