"Organization Name",Address,"NLRB Case Numbers","Petition File Date","Vote Count Date","Election Yes Votes","Election No Votes","Election Challenged Votes",Percentage,"Store Organizing Status",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"Arizona (AZ) : U of A at University & Euclid - 5505","802 E University Blvd # 804, Tucson AZ 85719-5005",28-RC-294327,4/19/2022,7/6/2022,11,3,1,78.57142857,"6. Joining the Fight To Win (Post-Election Victory)",32.231497,-110.959076,1,rooftop,802,"E University Blvd",#,804,Tucson,AZ,"Pima County",85719,US,Pima
"Arkansas (AR) : JFK & McCain - 9813","4824 John F Kennedy Blvd, North Little Rock AR 72116-7315",15-RC-341287,5/1/2024,5/16/2024,10,0,,100,"6. Joining the Fight To Win (Post-Election Victory)",34.799906,-92.254867,1,rooftop,4824,"John F Kennedy Blvd",,,"North Little Rock",AR,"Pulaski County",72116,US,Pulaski
"Arkansas (AR) : MLK & I-540 - 17955","2117 W Martin Luther King Jr Blvd, Fayetteville AR 72701-6216",15-RC-308256,12/5/2022,1/12/2023,18,1,,94.73684211,"6. Joining the Fight To Win (Post-Election Victory)",36.055,-94.190121,1,rooftop,2117,"W Martin Luther King Jr Blvd",,,Fayetteville,AR,"Washington County",72701,US,"City of Fayetteville (City of Fayetteville)"
"Arkansas (AR) : Rodney Parham and Market St - 24964","11121 N Rodney Parham Rd Ste 18B, Little Rock AR 72212-4109",15-RC-336138,2/20/2024,3/26/2024,12,2,,85.71428571,"6. Joining the Fight To Win (Post-Election Victory)",34.770735,-92.39867,1,rooftop,11121,"N Rodney Parham Rd",Ste,18B,"Little Rock",AR,"Pulaski County",72212,US,Pulaski
"Arkansas (AR) : Wedington and N Salem - 24570","3500 Black Forest Dr # 1, Fayetteville AR 72704-6551",15-RC-304743,10/6/2022,11/14/2022,11,9,0,55,"6. Joining the Fight To Win (Post-Election Victory)",36.078205,-94.210394,1,nearest_rooftop_match,3500,"W Black Forest Dr",#,1,Fayetteville,AR,"Washington County",72704,US,"City of Fayetteville (City of Fayetteville)"
"California (CA) : Northern California : 2224 Shattuck - Berkeley - 5406","2224 Shattuck Ave, Berkeley CA 94704-1416",32-RC-297553,6/14/2022,8/22/2022,12,6,,66.66666667,"6. Joining the Fight To Win (Post-Election Victory)",37.868862,-122.268413,1,rooftop,2224,"Shattuck Ave",,,Berkeley,CA,"Alameda County",94704,US,"Alameda (Alameda County)"
"California (CA) : Northern California : 7th & K - 48012","630 K St, Sacramento CA 95814-3331",20-RC-312434,2/17/2023,4/14/2023,11,2,,84.61538462,"6. Joining the Fight To Win (Post-Election Victory)",38.58015,-121.498216,1,rooftop,630,"K St",,,Sacramento,CA,"Sacramento County",95814,US,"Sacramento (Sacramento County CC BY 4.0)"
"California (CA) : Northern California : 9th & Irving - 629","744 Irving St, San Francisco CA 94122-2410",20-RC-321152,7/5/2023,8/11/2023,13,5,,72.22222222,"6. Joining the Fight To Win (Post-Election Victory)",37.7643,-122.466,1,rooftop,744,"Irving St",,,"San Francisco",CA,"San Francisco County",94122,US,"San Francisco (Public Domain Dedication and License (PDDL) v1.0)"
"California (CA) : Northern California : Alameda & Race - 5527","1205 The Alameda Ste 20, San Jose CA 95126-5021",32-RC-316051,4/10/2023,5/19/2023,9,0,,100,"6. Joining the Fight To Win (Post-Election Victory)",37.331525,-121.912662,1,rooftop,1205,"The Alameda",Ste,20,"San Jose",CA,"Santa Clara County",95126,US,"Santa Clara (Santa Clara County)"
"California (CA) : Northern California : Capitol Square Mall - San Jose - 5359","2707 McKee Rd, San Jose CA 95127-1827",32-RC-345505,7/1/2024,7/15/2024,12,6,,66.66666667,"6. Joining the Fight To Win (Post-Election Victory)",37.37146,-121.842304,1,rooftop,2707,"McKee Rd",,,"San Jose",CA,"Santa Clara County",95127,US,"City of San Jose2"
"California (CA) : Northern California : Clares & 41st Capitola - 667","1955 41st Ave Ste A1, Capitola CA 95010-2514",32-RC-292934,3/25/2022,6/6/2022,8,3,1,72.72727273,"6. Joining the Fight To Win (Post-Election Victory)",36.977853,-121.966951,1,rooftop,1955,"41st Ave",Ste,A1,Capitola,CA,"Santa Cruz County",95010,US,"City of Santa Cruz"
"California (CA) : Northern California : Downtown Petaluma - 5242","125 Petaluma Blvd N, Petaluma CA 94952-2323",20-RC-328627,10/25/2023,12/6/2023,12,0,0,100,"6. Joining the Fight To Win (Post-Election Victory)",38.234681,-122.64077,1,rooftop,125,"Petaluma Blvd N",,,Petaluma,CA,"Sonoma County",94952,US,"Sonoma (County of Sonoma Sonoma County)"
"California (CA) : Northern California : Emeryville - 615","3839 Emery St, Emeryville CA 94608-3662",32-RC-329865,11/13/2023,12/20/2023,15,0,,100,"6. Joining the Fight To Win (Post-Election Victory)",37.828942,-122.281999,1,rooftop,3839,"Emery St",,,Emeryville,CA,"Alameda County",94608,US,"Alameda (Alameda County)"
"California (CA) : Northern California : Estuary Cove - Oakland - 11453","1211 Embarcadero, Oakland CA 94606-5119",32-RC-314472,3/20/2023,4/28/2023,10,3,,76.92307692,"6. Joining the Fight To Win (Post-Election Victory)",37.7877,-122.250527,1,range_interpolation,1211,Embarcadero,,,Oakland,CA,"Alameda County",94606,US,"TIGER/Line® dataset from the US Census Bureau"
"California (CA) : Northern California : Fremont & Mary - 5618 - Sunnyvale CA","1291 S Mary Ave, Sunnyvale CA 94087-2203",32-RC-313978,3/13/2023,4/21/2023,20,0,,100,"6. Joining the Fight To Win (Post-Election Victory)",37.352718,-122.051317,1,rooftop,1291,"Mary Ave S",,,Sunnyvale,CA,"Santa Clara County",94087,US,"City of Sunnyvale"
"California (CA) : Northern California : Highway 4 and Hillcrest - 50547","3421 Deer Valley Rd, Antioch CA 94531-6665",32-RC-336115,2/20/2024,3/21/2024,19,0,,100,"6. Joining the Fight To Win (Post-Election Victory)",37.989694,-121.784427,1,rooftop,3421,"Deer Valley Rd",,,Antioch,CA,"Contra Costa County",94531,US,"Contra Costa (Contra Costa County)"
"California (CA) : Northern California : Hwy 20 & Tharp - Yuba City - 14071","1615 Colusa Hwy Ste 100, Yuba City CA 95993-9437",20-RC-327409,10/6/2023,11/17/2023,12,5,0,70.58823529,"6. Joining the Fight To Win (Post-Election Victory)",39.142071,-121.644641,1,rooftop,1615,"Highway 20",Ste,100,"Yuba City",CA,"Sutter County",95993,US,Sutter
"California (CA) : Northern California : Main and Rose - 24527","511 Main St Ste 503, Pleasanton CA 94566-6601",32-RC-313452,3/3/2023,4/12/2023,8,4,,66.66666667,"6. Joining the Fight To Win (Post-Election Victory)",37.660651,-121.875979,1,rooftop,511,"Main St",Ste,503,Pleasanton,CA,"Alameda County",94566,US,"Alameda (Alameda County)"
"California (CA) : Northern California : Mission & Dufour - 53811","1901 Mission St, Santa Cruz CA 95060-5215",32-RC-289828,2/1/2022,5/11/2022,15,2,0,88.23529412,"6. Joining the Fight To Win (Post-Election Victory)",36.963442,-122.042274,1,rooftop,1901,"Mission St",,,"Santa Cruz",CA,"Santa Cruz County",95060,US,"City of Santa Cruz"
"California (CA) : Northern California : Monterey & Alma - San Jose - 23597","1430 Monterey Hwy # 20, San Jose CA 95110-3617",32-RC-317697,5/8/2023,6/16/2023,31,1,,96.875,"6. Joining the Fight To Win (Post-Election Victory)",37.315886,-121.87344,1,range_interpolation,1430,"Monterey Hwy",,20,"San Jose",CA,"Santa Clara County",95110,US,"TIGER/Line® dataset from the US Census Bureau"
