"Organization Name",Address,"Petition File Date","Vote Count Date",Notes,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"California (CA) : Southern California : Wilshire & Curson - 12900","5757 Wilshire Blvd # 106, Los Angeles CA 90036-5810",11/17/2023,1/5/2024,,34.06259,-118.35341,1,nearest_rooftop_match,5757,"W Wilshire Blvd",#,106,"Los Angeles",CA,"Los Angeles County",90036,US,"City of Los Angeles (CC0 1.0)"
"Indiana (IN) : Plainfield Commons - 2656","2671 E Main St, Plainfield IN 46168-2710",11/15/2023,1/5/2024,,39.717901,-86.355747,1,rooftop,2671,"E Main St",,,Plainfield,IN,"Hendricks County",46168,US,"Address Points of Indiana: Address Points Maintained by Local Government Agencies in Indiana, (Indiana Geographic Information Office, File Geodatabase, Point Feature Class)"
"Pennsylvania (PA) : PA JB : Park City Center - 14189","142 Park City Ctr # E441, Lancaster PA 17601-2706",11/24/2023,1/4/2024,,40.068399,-76.339423,1,rooftop,142,"Park City Ctr",#,E441,Lancaster,PA,"Lancaster County",17601,US,Lancaster
"Indiana (IN) : SR-267 & I-70 - 63101","5050 Cambridge Way, Plainfield IN 46168-7910",11/14/2023,1/4/2024,,39.676972,-86.37035,1,rooftop,5050,"Cambridge Way",,,Plainfield,IN,"Hendricks County",46168,US,"Hendricks County"
"California (CA) : Northern California : Emeryville - 615","3839 Emery St, Emeryville CA 94608-3662",11/13/2023,12/20/2023,,37.829179,-122.281624,1,rooftop,3839,"Emery St",,,Emeryville,CA,"Alameda County",94608,US,"Alameda (Alameda County)"
"North Carolina (NC) : Renaissance Center  Durham Ext 276 - 9361","6813 Fayetteville Rd, Durham NC 27713-9682",10/31/2023,12/11/2023,,35.904736,-78.937501,1,rooftop,6813,"Fayetteville Rd",,,Durham,NC,"Durham County",27713,US,Durham
"Rhode Island (RI) : Providence, One Financial - 9667","1 Financial Plz, Providence RI 02903-2448",11/13/2023,12/11/2023,,41.825285,-71.410014,1,rooftop,1,"Financial Plz",,,Providence,RI,"Providence County",02903,US,Providence
"New York (NY) : NYNJJB : Lafayette Ave & Grand Ave - 54446","325 Lafayette Ave, Brooklyn NY 11238-5694",10/27/2023,12/7/2023,,40.68876,-73.962668,1,rooftop,325,"Lafayette Ave",,,Brooklyn,NY,"Kings County",11238,US,"City of New York"
"Massachusetts (MA) : Newton Corner - 10155 - MA","259 Centre St, Newton MA 02458-1624",2/27/2023,12/6/2023,,42.358963,-71.185347,1,rooftop,259,"Centre St",,,Newton,MA,"Middlesex County",02458,US,"Town of Newton"
"Missouri (MO) : 41st & Main - 10832","4101 Main St, Kansas City MO 64111-2314",3/22/2022,12/6/2023,,39.051386,-94.586018,1,rooftop,4101,"Main St",,,"Kansas City",MO,"Jackson County",64111,US,"City of Kansas City"
"California (CA) : Northern California : Downtown Petaluma - 5242","125 Petaluma Blvd N, Petaluma CA 94952-2323",10/25/2023,12/6/2023,,38.234681,-122.64077,1,rooftop,125,"Petaluma Blvd N",,,Petaluma,CA,"Sonoma County",94952,US,"Sonoma (County of Sonoma Sonoma County)"
"Ohio (OH) : West Henderson Road - 2644","1873 Henderson Rd, Upper Arlington OH 43220-2501",10/26/2023,12/5/2023,,40.05439,-83.068868,1,rooftop,1873,"W Henderson Rd",,,Columbus,OH,"Franklin County",43220,US,"City of Columbus"
"Massachusetts (MA) : Somerville Avenue - 2764 - MA","711 Somerville Ave # 723, Somerville MA 02143-3695",2/24/2023,12/5/2023,,42.386141,-71.114194,1,rooftop,711,"Somerville Ave",#,723,Somerville,MA,"Middlesex County",02143,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
"Pennsylvania (PA) : PJB PA : North Wales - 10697","271 DeKalb Pike, North Wales PA 19454-1806",10/23/2023,11/29/2023,,40.221266,-75.248968,1,rooftop,271,"Dekalb Pike",,,"North Wales",PA,"Montgomery County",19454,US,Montgomery
"Georgia (GA) : Perimeter Mall - 10481","4400 Ashford Dunwoody Rd NE Ste 1360, Atlanta GA 30346-1520",10/11/2023,11/27/2023,,33.923751,-84.340273,0.95,rooftop,4400,"Ashford Dunwoody Rd",Ste,1360,Atlanta,GA,"Dekalb County",30346,US,Dekalb
"California (CA) : Northern California : Hwy 20 & Tharp - Yuba City - 14071","1615 Colusa Hwy Ste 100, Yuba City CA 95993-9437",10/6/2023,11/17/2023,,39.142071,-121.644641,1,rooftop,1615,"Highway 20",Ste,100,"Yuba City",CA,"Sutter County",95993,US,Sutter
"Texas (TX) : HWY 380 & Hinkle - 9966","1445 W University Dr, Denton TX 76201-1904",10/10/2023,11/14/2023,,33.229582,-97.146321,0.9,range_interpolation,1445,"W University Dr",,,Denton,TX,"Denton County",76201,US,"TIGER/Line® dataset from the US Census Bureau"
"Oklahoma (OK) : 29th & Air Depot - 10754","7203 SE 29th St, Midwest City OK 73110-6092",10/2/2023,11/9/2023,,35.435679,-97.399834,1,rooftop,7203,"SE 29th St",,,"Oklahoma City",OK,"Oklahoma County",73110,US,"City of Midwest City"
"Texas (TX) : I-35 & Valley View - 57605","2425 Valley View Ln, Farmers Branch TX 75234-5723",9/14/2023,10/24/2023,,32.923577,-96.899253,1,rooftop,2425,"Valley View Ln",,,Dallas,TX,"Dallas County",75234,US,Dallas
"Nevada (NV) : Casino Center and Clark - 49416 - Las Vegas NV","122 E Clark Ave, Las Vegas, NV 89101",9/14/2023,10/23/2023,,36.165849,-115.147632,1,rooftop,122,"E Clark Ave",,,"Las Vegas",NV,"Clark County",89101,US,"Las Vegas"
"Georgia (GA) : Tara Boulevard and Mt Zion - 54772","6564 Tara Blvd, Jonesboro GA 30236-1228",9/5/2023,10/11/2023,,33.575125,-84.37115,1,rooftop,6564,"Tara Blvd",,,Jonesboro,GA,"Clayton County",30236,US,"Clayton (Clayton County)"
"California (CA) : Northern California : Travis Blvd - Solano Town Center - 6742","1450 Travis Blvd # P-1, Fairfield CA 94533-3451",8/22/2023,9/29/2023,,38.258471,-122.054056,1,rooftop,1450,"Travis Blvd",,"P 1",Fairfield,CA,"Solano County",94533,US,"Solano (Solano County)"
"South Carolina (SC) : I 20 and Saluda Pointe Court - 24423","105 Saluda Pointe Dr Ste A, Lexington SC 29072-6786",8/9/2023,9/20/2023,,34.011993,-81.153361,1,range_interpolation,105,"Saluda Pointe Dr",Ste,A,Lexington,SC,"Lexington County",29072,US,"TIGER/Line® dataset from the US Census Bureau"
"Washington (WA) : Merlot Dr & Wine Country Rd - 10848 - Prosser WA","10 Merlot Dr Ste A, Prosser WA 99350-9532",8/4/2023,9/19/2023,,46.219347,-119.79014,1,rooftop,10,"Merlot Dr",Ste,A,Prosser,WA,"Benton County",99350,US,"Statewide WA"
"Washington (WA) : Seattle Center - 3204 - Seattle WA","305 Harrison St Ste 220, Seattle WA 98109-4623",8/4/2023,9/15/2023,,47.621412,-122.350858,1,rooftop,305,"Harrison St",Ste,220,Seattle,WA,"King County",98109,US,"City of Seattle"
"Massachusetts (MA) : Beverly, Enon St. - 7450","29 Enon St, Beverly MA 01915-1115",7/26/2023,9/7/2023,,42.586505,-70.885033,1,range_interpolation,29,"Enon St",,,Beverly,MA,"Essex County",01915,US,"TIGER/Line® dataset from the US Census Bureau"
"Colorado (CO) : University Hills - 5434","2700 S Colorado Blvd, Denver, CO 80222",8/2/2023,9/7/2023,,39.668478,-104.94068,1,range_interpolation,2700,"S Colorado Blvd",,,Denver,CO,"Denver County",80222,US,"TIGER/Line® dataset from the US Census Bureau"
"South Carolina (SC) : Tiger Blvd & College Ave - 11768","1082 Tiger Blvd, Clemson SC 29631-1422",7/17/2023,8/28/2023,,34.690602,-82.834367,1,rooftop,1082,"Tiger Blvd",,,Clemson,SC,"Pickens County",29631,US,Pickens
"Pennsylvania (PA) : PA JB : Lancaster - 7581","2208 Lincoln Hwy E, Lancaster PA 17602-1112",7/12/2023,8/23/2023,,40.02754,-76.22322,1,rooftop,2208,"Lincoln Hwy E",,,Lancaster,PA,"Lancaster County",17602,US,Lancaster
"Oregon (OR) : Salem OR - 9611 - Wallace & Glen Creek","1124 Wallace Rd NW Ste 105, Salem OR 97304-3190",6/29/2023,8/17/2023,,44.951219,-123.050813,1,rooftop,1124,"Wallace Rd NW",Ste,105,Salem,OR,"Polk County",97304,US,"City of Salem (City of Salem, Oregon)"
"District of Columbia (DC) : Chevy Chase Circle - 715","5500 Connecticut Ave NW, Washington DC 20015-2602",6/30/2023,8/16/2023,,38.963276,-77.074971,1,rooftop,5500,"Connecticut Ave NW",,,Washington,DC,"District of Columbia",20015,US,"Statewide (City of Washington)"
"Montana (MT) : Missoula-1-90 and Reserve - 3437","5260 Grant Creek Rd, Missoula MT 59808-1492",7/12/2023,8/16/2023,,46.91434,-114.032843,1,rooftop,5260,"Grant Creek Rd",,,Missoula,MT,"Missoula County",59808,US,"Montana State Library"
"Washington (WA) : Heritage Place - 3344 - Vancouver WA","304 W 8th St, Vancouver WA 98660-3112",6/29/2023,8/16/2023,,45.627647,-122.674937,1,rooftop,304,"W 8th St",,,Vancouver,WA,"Clark County",98660,US,Clark
"Oregon (OR) : Valley Plaza- Beaverton - 10169","9350 SW Beaverton Hillsdale Hwy, Beaverton OR 97005-3313",6/29/2023,8/15/2023,,45.486074,-122.772726,1,rooftop,9350,"SW Beaverton Hillsdale Hwy",,,Beaverton,OR,"Washington County",97005,US,"City of Portland (Public Domain Dedication and License (PDDL) v1.0)"
"Missouri (MO) : Page & Ball - 29445","11532 Page Service Dr, Saint Louis, MO 63146",6/28/2023,8/15/2023,,38.699487,-90.421991,1,rooftop,11532,"Page Service Dr",,,"Saint Louis",MO,"St. Louis County",63146,US,"St Louis (CC0)"
"California (CA) : Northern California : 9th & Irving - 629","744 Irving St, San Francisco CA 94122-2410",7/5/2023,8/11/2023,,37.7643,-122.466,1,rooftop,744,"Irving St",,,"San Francisco",CA,"San Francisco County",94122,US,"San Francisco (Public Domain Dedication and License (PDDL) v1.0)"
"New Jersey (NJ) : Rt. 10 - 56661 - Succasunna NJ","401 State Rte 10 E, Ledgewood, NJ 07852",7/3/2023,8/10/2023,,40.875129,-74.650973,1,rooftop,401,"State Rte 10 E",,,Ledgewood,NJ,"Morris County",07852,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"Indiana (IN) : 3rd St & 46 Bypass - 8691 - Bloomington IN","115 S State Road 46, Bloomington IN 47408-4435",6/27/2023,8/8/2023,,39.165778,-86.498211,1,rooftop,115,"S State Road 46",,,Bloomington,IN,"Monroe County",47408,US,"City of Bloomington"
"Nebraska (NE) : 27th and Kensington - 29697","5040 N 26th St, Lincoln NE 68521-4732",6/23/2023,8/7/2023,,40.8619,-96.683009,1,rooftop,5040,"N 26th St",,,Lincoln,NE,"Lancaster County",68521,US,Lincoln
"California (CA) : Southern California : University & Richmond - San Diego - 5638","1240 University Ave, San Diego CA 92103-3312",6/27/2023,8/4/2023,,32.749104,-117.151936,1,rooftop,1240,"University Ave",,,"San Diego",CA,"San Diego County",92103,US,"City of San Diego (ODC PDDL)"
"Illinois (IL) : 22nd & Tower - 10778","2407 W 22nd St, Oak Brook IL 60523-4602",6/20/2023,8/3/2023,,41.845403,-87.977404,1,rooftop,2407,"W 22nd St",,,"Oak Brook",IL,"Dupage County",60523,US,Dupage
"Missouri (MO) : Gravois and Rock Hill-Affton - 23826","10015 Gravois Rd, Affton MO 63123-4023",6/21/2023,8/2/2023,,38.551229,-90.333614,1,rooftop,10015,"Gravois Rd",,,"Saint Louis",MO,"St. Louis County",63123,US,"St Louis (CC0)"
"Michigan (MI) : Plymouth & Nixon - 15010","2793 Plymouth Rd, Ann Arbor MI 48105-2489",6/21/2023,8/1/2023,,42.302875,-83.705983,1,rooftop,2793,"Plymouth Rd",,,"Ann Arbor",MI,"Washtenaw County",48105,US,Washtenaw
"Wyoming (WY) : 21st & Central Avenue-Cheyenne, WY - 11082","2111 Central Ave, Cheyenne WY 82001-3744",6/26/2023,7/31/2023,,41.137994,-104.816991,1,rooftop,2111,"Central Ave",,,Cheyenne,WY,"Laramie County",82001,US,Laramie
"Texas (TX) : 407 & McMakin - 29132","3012 E FM 407 407 200, Argyle, TX 76226",6/16/2023,7/17/2023,,33.07653,-97.13037,1,rooftop,3012,"E FM-407",,200,Argyle,TX,"Denton County",76226,US,Denton
"Washington (WA) : Redmond Retail - 3353 - Redmond WA","7625 170th Ave NE Ste 101, Redmond WA 98052-0910",5/26/2023,7/14/2023,,47.670891,-122.114082,1,rooftop,7625,"170th Ave NE",Ste,101,Redmond,WA,"King County",98052,US,King
"Nevada (NV) : Lake Mead & McDaniel, N LV - 9959","2001 E Lake Mead Blvd Ste 105, North Las Vegas NV 89030-8902",5/22/2023,7/6/2023,,36.195669,-115.120687,1,range_interpolation,2001,"E Lake Mead Blvd",Ste,105,"North Las Vegas",NV,"Clark County",89030,US,"TIGER/Line® dataset from the US Census Bureau"
"Connecticut (CT) : Berkshire Center - 47021 - Danbury CT","67 Newtown Rd, Danbury CT 06810-6272",5/19/2023,7/6/2023,,41.407478,-73.414634,1,rooftop,67,"Newtown Rd",,,Danbury,CT,"Western Connecticut Planning Region",06810,US,"Connecticut Geospatial Information Systems Council"
"Michigan (MI) : Pardee & Eureka - 2872","23402 Eureka Rd, Taylor MI 48180-5200",5/23/2023,7/6/2023,,42.197812,-83.263456,1,range_interpolation,23402,"Eureka Rd",,,Taylor,MI,"Wayne County",48180,US,"TIGER/Line® dataset from the US Census Bureau"
"Maryland (MD) : Route 40 - Ellicott City - 7714 - MD","9251 Baltimore National Pike, Ellicott City MD 21042-3981",5/24/2023,7/6/2023,,39.276767,-76.830893,1,rooftop,9251,"Baltimore National Pike",,,"Ellicott City",MD,"Howard County",21042,US,"Howard (PD)"
"Arizona (AZ) : Higley & Baseline - 48577","1683 N Higley Rd, Gilbert AZ 85234-1629",5/30/2023,6/30/2023,,33.380804,-111.721562,1,rooftop,1683,"N Higley Rd",,,Gilbert,AZ,"Maricopa County",85234,US,"City of Gilbert"
"Texas (TX) : Boat Club & Robertson - 58254","7017 Boat Club Rd, Fort Worth TX 76179-4509",5/22/2023,6/29/2023,,32.863997,-97.426779,1,rooftop,7017,"Boat Club Rd",,,"Fort Worth",TX,"Tarrant County",76179,US,"Tarrant County"
"Montana (MT) : Missoula - Brooks and Central - 22428","2121 Brooks St, Missoula MT 59801-6648",5/23/2023,6/23/2023,,46.850929,-114.015301,1,rooftop,2121,"Brooks St",,,Missoula,MT,"Missoula County",59801,US,"Montana State Library"
"Texas (TX) : Preston & Old Shephard - 6349","1709 Preston Rd Ste B, Plano TX 75093-5253",5/19/2023,6/23/2023,,33.022611,-96.789103,0.75,nearest_rooftop_match,1706,"Preston Park Dr",Ste,B,Plano,TX,"Collin County",75093,US,Plano
"Illinois (IL) : Route 25 & Lake Marian - 55261","78 S Kennedy Dr, Carpentersville IL 60110-2242",5/12/2023,6/22/2023,,42.119121,-88.257738,0.9,range_interpolation,78,"S Kennedy Dr",,,Carpentersville,IL,"Kane County",60110,US,"TIGER/Line® dataset from the US Census Bureau"
"California (CA) : Northern California : Monterey & Alma - San Jose - 23597","1430 Monterey Hwy # 20, San Jose CA 95110-3617",5/8/2023,6/16/2023,,37.315886,-121.87344,1,range_interpolation,1430,"Monterey Hwy",,20,"San Jose",CA,"Santa Clara County",95110,US,"TIGER/Line® dataset from the US Census Bureau"
"Utah (UT) : Bountiful 500S - 20321","422 W 500 S, Bountiful UT 84010-7206",4/17/2023,6/14/2023,,40.884087,-111.891488,0.9,range_interpolation,422,"W 500 S",,,Bountiful,UT,"Davis County",84010,US,"TIGER/Line® dataset from the US Census Bureau"
"Ohio (OH) : Aurora, W. Garfield Road - 2400","157 W Garfield Rd, Aurora OH 44202-8847",5/1/2023,6/13/2023,,41.317275,-81.350364,1,rooftop,157,"W Garfield Rd",,,Aurora,OH,"Portage County",44202,US,Portage
"Utah (UT) : 21st & State, Salt Lake City - 11309","2101 S State St, South Salt Lake UT 84115-2721",5/1/2023,6/13/2023,,40.725229,-111.887916,1,rooftop,2101,"S State St",,,"South Salt Lake",UT,"Salt Lake County",84115,US,"Utah AGRC (and individual UT counties)"
"Kentucky (KY) : I-65 & Mulberry - Elizabethtown - 29090","111 The Loop, Elizabethtown KY 42701-7517",5/1/2023,6/12/2023,,37.684807,-85.878391,0.5,place,,,,,Elizabethtown,KY,"Hardin County",42701,US,"TIGER/Line® dataset from the US Census Bureau"
"Illinois (IL) : Sherman & Clark - Evanston - 243","1734 Sherman Ave, Evanston IL 60201-3713",5/3/2023,6/9/2023,,42.049704,-87.682045,1,rooftop,1734,"Sherman Ave",,,Evanston,IL,"Cook County",60201,US,"City of Evanston"
"Ohio (OH) : Strongsville, SR 82 - 2702","17180 Royalton Rd, Strongsville OH 44136-4421",5/1/2023,6/8/2023,,41.31341,-81.820083,1,rooftop,17180,"Royalton Rd",,,Strongsville,OH,"Cuyahoga County",44136,US,Cuyahoga
"Washington (WA) : Wellesley & Belt - 8681 - Spokane WA","2401 W Wellesley Ave, Spokane WA 99205-5009",4/17/2023,6/2/2023,,47.699302,-117.447387,1,rooftop,2401,"W Wellesley Ave",,,Spokane,WA,"Spokane County",99205,US,"City of Spokane (City of Spokane)"
"Wisconsin (WI) : State & Lake - 2309 - Madison WI","661 State St, Madison WI 53703-1049",4/18/2023,6/1/2023,,43.074698,-89.397014,1,rooftop,661,"State St",,,Madison,WI,"Dane County",53703,US,"Statewide WI"
"Georgia (GA) : Memorial Dr & Palmetto Dr - 62119","1908 Memorial Dr Ste B, Waycross GA 31501-1070",4/21/2023,5/26/2023,,31.20297,-82.333489,1,rooftop,1908,"Memorial Dr",Ste,B,Waycross,GA,"Ware County",31501,US,Ware
"California (CA) : Southern California : Hwy 111 & Monroe - 8709 - Indio CA","81952 US Highway 111 Ste A, Indio CA 92201-9716",4/19/2023,5/25/2023,,33.714584,-116.234505,1,rooftop,81952,"Highway 111",Ste,A,Indio,CA,"Riverside County",92201,US,Riverside
"New Hampshire (NH) : Rochester, Marketplace Drive - 48344","145 Marketplace Blvd Unit 2, Rochester NH 03867-4383",4/3/2023,5/23/2023,,43.33238,-71.008414,1,rooftop,145,"Marketplace Blvd",Unit,2,Rochester,NH,"Strafford County",03867,US,"Statewide NH"
"Louisiana (LA) : Poydras & St Charles - 27890","601 Poydras St, New Orleans LA 70130-6029",4/14/2023,5/22/2023,,29.94988,-90.069869,1,rooftop,601,"Poydras St",,,"New Orleans",LA,"Orleans Parish",70130,US,"Orleans Parish"
"California (CA) : Southern California : Leucadia & I-5 San Diego - 16521","905 Orpheus Ave Ste 103, Encinitas CA 92024-2197",4/12/2023,5/19/2023,,33.065593,-117.293351,1,rooftop,905,"Orpheus Ave",Ste,103,Encinitas,CA,"San Diego County",92024,US,"San Diego Geographic Information Source - JPA"
"California (CA) : Northern California : Alameda & Race- 5527","1205 The Alameda, Ste. 20, San Jose CA 95126-2698",4/10/2023,5/19/2023,,37.331525,-121.912662,1,rooftop,1205,"The Alameda",Ste,20,"San Jose",CA,"Santa Clara County",95126,US,"Santa Clara (Santa Clara County)"
"Kentucky (KY) : Dixie Hwy & Ring Rd - 56306","1703 N Dixie Ave, Elizabethtown KY 42701-7499",3/22/2023,5/16/2023,,37.733059,-85.885893,1,rooftop,1703,"N Dixie Ave",,,Elizabethtown,KY,"Hardin County",42701,US,"Statewide KY"
"Illinois (IL) : Urbana-Main & Vine - 10636","102 N Vine St, Urbana, IL 61802",4/4/2023,5/16/2023,,40.112849,-88.204608,1,rooftop,102,"N Vine St",,,Urbana,IL,"Champaign County",61802,US,Champaign
"Washington (WA) : 1410 Plaza Way - 9448 - Walla Walla WA","1410 Plaza Way Ste A, Walla Walla WA 99362-4352",3/22/2023,5/12/2023,,46.050326,-118.346566,1,rooftop,1410,"Plaza Way",Ste,A,"Walla Walla",WA,"Walla Walla County",99362,US,"Walla Walla"
"Iowa (IA) : Burlington & Clinton - 2855 - Iowa City IA","228 S Clinton St, Iowa City IA 52240-4028",3/27/2023,5/11/2023,,41.658199,-91.534376,1,rooftop,228,"S Clinton St",,,"Iowa City",IA,"Johnson County",52240,US,Johnson
"Michigan (MI) : Fort & Pennsylvania Ave - 49998","17056 Fort St, Riverview MI 48193-6626",3/22/2023,5/11/2023,,42.184305,-83.190451,0.87,nearest_rooftop_match,17020,"Ft St",,,Riverview,MI,"Wayne County",48193,US,Semcog
"Kentucky (KY) : Central & 3rd - 11181","3103 S 3rd St, Louisville KY 40214-1707",3/22/2023,5/10/2023,,38.204309,-85.763578,1,rooftop,3103,"S 3rd St",,,Louisville,KY,"Jefferson County",40214,US,"Metro Louisville,  LOJIC partners"
"Missouri (MO) : St Louis - S Grand and Sidney - 24571","2350 S Grand Blvd, Saint Louis MO 63104-1755",3/29/2023,5/9/2023,,38.608288,-90.240785,1,rooftop,2350,"S Grand Blvd",,,"Saint Louis",MO,"St. Louis City",63104,US,"City of St Louis"
"Oregon (OR) : Highway 101 30th - Lincoln City - 8843","3350 NE Highway 101, Lincoln City OR 97367-4953",3/22/2023,5/8/2023,,44.989549,-124.00521,1,rooftop,3350,"NE Highway 101",,,"Lincoln City",OR,"Lincoln County",97367,US,"Statewide OR"
"Ohio (OH) : Walker Lake Rd - Mansfield - 2793","2172 Walker Lake Rd, Ontario OH 44903-6521",3/22/2023,5/4/2023,,40.787724,-82.592381,1,rooftop,2172,"Walker Lake Rd",,,Ontario,OH,"Richland County",44903,US,Richland
"Colorado (CO) : 144th and I-25-Westminster - 13233","14456 Delaware St, Westminster CO 80023-9265",3/22/2023,5/2/2023,,39.958865,-104.991204,1,rooftop,14456,"Delaware St",,,Westminster,CO,"Adams County",80023,US,Adams
"California (CA) : Northern California : Estuary Cove - Oakland - 11453","1211 Embarcadero, Oakland CA 94606-5119",3/20/2023,4/28/2023,,37.7877,-122.250527,1,range_interpolation,1211,Embarcadero,,,Oakland,CA,"Alameda County",94606,US,"TIGER/Line® dataset from the US Census Bureau"
"Oregon (OR) : PSU Urban Center - Portland - 24167","1742 SW 6th Ave, Portland OR 97201-5203",3/14/2023,4/28/2023,,45.51204,-122.68214,1,rooftop,1742,"SW 6th Ave",,,Portland,OR,"Multnomah County",97201,US,"City of Portland (Public Domain Dedication and License (PDDL) v1.0)"
"California (CA) : Northern California : Fremont & Mary - 5618 - Sunnyvale CA","1291 S Mary Ave, Sunnyvale CA 94087-2203",3/13/2023,4/21/2023,,37.352718,-122.051317,1,rooftop,1291,"Mary Ave S",,,Sunnyvale,CA,"Santa Clara County",94087,US,"City of Sunnyvale"
"Oregon (OR) : Ashland & Walker - 448","512 Walker Ave, Ashland OR 97520-2324",3/6/2023,4/21/2023,,42.185683,-122.687848,1,rooftop,512,"Walker Ave",,,Ashland,OR,"Jackson County",97520,US,"Jackson (Jackson County, Oregon GIS CC BY 4.0)"
"Ohio (OH) : Columbus OH - 2455 - 1085 West Fifth Avenue","1085 W 5th Ave, Columbus OH 43212-2629",1/27/2023,4/17/2023,,39.988116,-83.035224,1,rooftop,1085,"W 5th Ave",,,Columbus,OH,"Franklin County",43212,US,"City of Columbus"
"California (CA) : Northern California : 7th & K - 48012","630 K St, Sacramento CA 95814-3331",2/17/2023,4/14/2023,,38.58015,-121.498216,1,rooftop,630,"K St",,,Sacramento,CA,"Sacramento County",95814,US,"Sacramento (Sacramento County CC BY 4.0)"
"California (CA) : Northern California : Main and Rose - 24527","511 Main St Ste 503, Pleasanton CA 94566-6601",3/3/2023,4/12/2023,,37.660651,-121.875979,1,rooftop,511,"Main St",Ste,503,Pleasanton,CA,"Alameda County",94566,US,"Alameda (Alameda County)"
"Illinois (IL) : Lake & Euclid - Oak Park - 13342","711 Lake St, Oak Park IL 60301-1406",3/13/2023,4/11/2023,,41.88846,-87.793302,1,rooftop,711,"Lake St",,,"Oak Park",IL,"Cook County",60301,US,Cook
"Arizona (AZ) : McQueen and Guadalupe - 61898","773 N McQueen Rd, Gilbert, AZ 85233",2/21/2023,4/10/2023,,33.363771,-111.823698,1,rooftop,773,"N McQueen Rd",,,Gilbert,AZ,"Maricopa County",85233,US,"Statewide AZ"
"Michigan (MI) : Southfield & Outer Dr, Allen Park - 9435","23005 Outer Dr, Allen Park MI 48101-3149",2/17/2023,4/5/2023,,42.278391,-83.215365,1,rooftop,23005,"Outer Dr",,,"Allen Park",MI,"Wayne County",48101,US,Semcog
"Illinois (IL) : Halsted & Monroe - Greek Town - 11719","116 S Halsted St, Chicago IL 60661-3508",2/14/2023,3/31/2023,,41.880044,-87.647611,1,rooftop,116,"S Halsted St",,,Chicago,IL,"Cook County",60661,US,"City of Chicago"
"Tennessee (TN) : Northshore & Pellissippi - 29203","1938 Pinnacle Pointe Way, Knoxville TN 37922-6702",2/17/2023,3/28/2023,,35.862782,-84.066899,1,rooftop,1938,"Pinnacle Pointe Way",,,Knoxville,TN,"Knox County",37922,US,"Statewide TN"
"Oregon (OR) : Cornell & Stucki - 2866 - Hillsboro OR","2002 NE Stucki Ave, Hillsboro, OR 97124",1/31/2023,3/17/2023,,45.534693,-122.876825,1,rooftop,2002,"NE Stucki Ave",,,Hillsboro,OR,"Washington County",97124,US,"City of Portland (Public Domain Dedication and License (PDDL) v1.0)"
"Pennsylvania (PA) : PJB PA : 10th & Market - Philadelphia - 60509","901 Market St # 1165, Philadelphia PA 19107-3111",1/31/2023,3/13/2023,,39.952009,-75.155396,1,rooftop,901,"Market St",#,1165,Philadelphia,PA,"Philadelphia County",19107,US,Philadelphia
"Arizona (AZ) : Camelback & Litchfield - 47582","13840 W Camelback Rd Ste 20, Litchfield Park AZ 85340-3084",1/26/2023,3/7/2023,,33.508794,-112.357265,1,rooftop,13840,"W Camelback Rd",Ste,20,"Litchfield Park",AZ,"Maricopa County",85340,US,"Statewide AZ"
"Oregon (OR) : Pioneer Courthouse - 401","720 SW Broadway, Portland OR 97205-3315",1/17/2023,3/3/2023,,45.519098,-122.679499,1,rooftop,720,"SW Broadway",,,Portland,OR,"Multnomah County",97205,US,"City of Portland (Public Domain Dedication and License (PDDL) v1.0)"
"Nevada (NV) : Tenaya & Azure, Las Vegas - 9887","7220 W Azure Dr Ste 110, Las Vegas NV 89130-7912",1/26/2023,2/28/2023,,36.274414,-115.252946,1,rooftop,7220,"W Azure Dr",Ste,110,"Las Vegas",NV,"Clark County",89130,US,Clark
"Indiana (IN) : Valparaiso, IN-LaPorte & Silhavy - 2732","2310 Laporte Ave Ste 900, Valparaiso IN 46383-6990",1/17/2023,2/17/2023,,41.467246,-87.032404,1,rooftop,2310,"Laporte Ave",Ste,900,Valparaiso,IN,"Porter County",46383,US,Porter
"New York (NY) : NYNJJB : Lynbrook-Sunrise Hwy. - 7413","839 Sunrise Hwy, Lynbrook NY 11563-2923",1/17/2023,2/17/2023,,40.656443,-73.683434,1,rooftop,839,"Sunrise Hwy",,,Lynbrook,NY,"Nassau County",11563,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)"
"Texas (TX) : Cambridge & Fannin-MH Medical Plaza - 13672","6400 Fannin St Ste 104, Houston TX 77030-1551",10/31/2022,2/9/2023,,29.715105,-95.397343,1,rooftop,6400,"Fannin St",Ste,104,Houston,TX,"Harris County",77030,US,"City of Houston"
"Oregon (OR) : SE 102nd and Stark - 14044","10215 SE Stark St, Portland OR 97216-2741",12/2/2022,1/31/2023,,45.519361,-122.558177,1,rooftop,10215,"SE Stark St",,,Portland,OR,"Multnomah County",97216,US,"City of Portland (Public Domain Dedication and License (PDDL) v1.0)"
"Illinois (IL) : Chicago & Main - 2444","519 Main St, Evanston IL 60202-1814",12/5/2022,1/27/2023,,42.034134,-87.678771,1,rooftop,519,"Main St",,,Evanston,IL,"Cook County",60202,US,"City of Evanston"
