"Organization Name",Address,"Petition File Date","Vote Count Date",Notes,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"Massachusetts (MA) : Brighton Village - 7823","470 Washington St, Brighton MA 02135-2674",6/3/2024,6/18/2024,,42.348709,-71.159541,1,rooftop,470,"Washington St",,,Brighton,MA,"Suffolk County",02135,US,"City of Boston"
"Indiana (IN) : Indiana Ave - 2387","110 S Indiana Ave, Bloomington IN 47408-4043",6/4/2024,6/18/2024,,39.166098,-86.52714,1,rooftop,110,"S Indiana Ave",,,Bloomington,IN,"Monroe County",47408,US,"City of Bloomington"
"New York (NY) : 32BJ : Nassau & Fulton - 14318","130 Fulton St, New York NY 10038-2504",6/5/2024,6/18/2024,,40.710261,-74.008026,1,rooftop,130,"Fulton St",,,"New York",NY,"New York County",10038,US,"City of New York"
"California (CA) : Southern California : Alameda & Shelton - 569","1190 W Alameda Ave Ste G-2, Burbank CA 91506-2806",6/4/2024,6/18/2024,,34.162593,-118.31463,1,nearest_rooftop_match,1190,"W Alameda Ave S",Ste,"G 2",Burbank,CA,"Los Angeles County",91506,US,"City of Burbank"
"Pennsylvania (PA) : PA JB : Shadyside - 778","5600 Walnut St, Pittsburgh PA 15232-2475",6/4/2024,6/18/2024,,40.451528,-79.931941,1,rooftop,5600,"Walnut St",,,Pittsburgh,PA,"Allegheny County",15232,US,Allegheny
"Florida (FL) : 9055 S. Dixie Highway - 8470","9055 S Dixie Hwy, Pinecrest FL 33156-1600",6/4/2024,6/18/2024,,25.68633,-80.310494,1,rooftop,9055,"S Dixie Hwy",,,Pinecrest,FL,"Miami-Dade County",33156,US,"Miami Dade (Public Domain Miami-Dade County)"
"Pennsylvania (PA) : PJB PA : Media - Baltimore Pike - 7837","501 E Baltimore Pike, Media PA 19063-3509",4/4/2023,6/17/2024,,39.915397,-75.380443,1,range_interpolation,501,"Baltimore Pike",,,Media,PA,"Delaware County",19063,US,"TIGER/Line® dataset from the US Census Bureau"
"South Carolina (SC) : Main St and Wilson Road - 56070","1216 Wilson Rd, Newberry, SC 29108",6/4/2024,6/17/2024,,34.282976,-81.596012,1,range_interpolation,1216,"Wilson Rd",,,Newberry,SC,"Newberry County",29108,US,"TIGER/Line® dataset from the US Census Bureau"
"Utah (UT) : 1121 S Jordan Pkwy - 63780","1121 W South Jordan Pkwy, South Jordan UT 84095-4550",6/4/2024,6/17/2024,,40.560871,-111.924058,1,rooftop,1121,"W South Jordan Pkwy",,,"South Jordan",UT,"Salt Lake County",84095,US,"Utah AGRC (and individual UT counties)"
"Washington (WA) : 7th & Westlake - Seattle - 25577","2011 7th Ave # R2, Seattle WA 98121-2601",6/4/2024,6/14/2024,,47.615081,-122.338063,1,rooftop,2011,"7th Ave",#,R2,Seattle,WA,"King County",98121,US,"City of Seattle"
"Texas (TX) : Pipeline & Hwy 820 - 6337","1324 W Pipeline Rd Ste A-09, Hurst TX 76053-4627",6/4/2024,6/13/2024,,32.82543,-97.200386,1,rooftop,1324,"W Pipeline Rd",Ste,"A 09",Hurst,TX,"Tarrant County",76053,US,"Tarrant County"
"New Jersey (NJ) : Troy Hills - 26761","1429 US Highway 46, Parsippany NJ 07054-2908",6/3/2024,6/13/2024,,40.863523,-74.397977,1,rooftop,1429,"State Rte 46 W",,,Parsippany,NJ,"Morris County",07054,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"Pennsylvania (PA) : PJB PA : Jenkintown - 777","746 Old York Rd, Jenkintown PA 19046-2833",5/31/2024,6/12/2024,,40.103804,-75.125915,1,rooftop,746,"Old York Rd",,,Jenkintown,PA,"Montgomery County",19046,US,Montgomery
"Oregon (OR) : 28th & Burnside - 420","2803 E Burnside St, Portland OR 97214-1829",5/16/2024,5/30/2024,,45.52301,-122.637131,1,rooftop,2803,"E Burnside St",,,Portland,OR,"Multnomah County",97214,US,"City of Portland (Public Domain Dedication and License (PDDL) v1.0)"
"Louisiana (LA) : Jefferson Hwy & Upstream St - 13253","9301 Jefferson Hwy, River Ridge LA 70123-2805",5/10/2024,5/23/2024,,29.951522,-90.214025,1,rooftop,9301,"Jefferson Hwy",,,"New Orleans",LA,"Jefferson Parish",70123,US,"Jefferson Parish"
"New York (NY) : NYNJJB : Port Jefferson - 7210","201 Main St Ste C, Port Jefferson NY 11777-1696",5/6/2024,5/22/2024,,40.945766,-73.068255,1,rooftop,201,"Main St",Ste,C,"Port Jefferson",NY,"Suffolk County",11777,US,"Suffolk (Suffolk County Dept. of Information Technology - GIS Unit. CC BY 4.0)"
"New York (NY) : NYNJJB : Hoyt St & Schermerhorn St - 57601","45 Hoyt St # D, Brooklyn NY 11201-7211",5/6/2024,5/22/2024,,40.689289,-73.985834,1,rooftop,45,"Hoyt St",Apt,D,Brooklyn,NY,"Kings County",11201,US,"City of New York"
"Colorado (CO) : Hover & Trade Center Dr - 6638","1087 S Hover St Ste A, Longmont CO 80501-7936",5/3/2024,5/16/2024,,40.147276,-105.131437,1,rooftop,1087,"S Hover St",Ste,A,Longmont,CO,"Boulder County",80501,US,"Boulder (Boulder County, CO)"
"Arkansas (AR) : JFK & McCain - 9813","4824 John F Kennedy Blvd, North Little Rock AR 72116-7315",5/1/2024,5/16/2024,,34.799906,-92.254867,1,rooftop,4824,"John F Kennedy Blvd",,,"North Little Rock",AR,"Pulaski County",72116,US,Pulaski
"California (CA) : Southern California : Newall & Carl Ct - 10182","23790 Newhall Ave, Santa Clarita CA 91321-3125",5/1/2024,5/15/2024,,34.372205,-118.516226,1,rooftop,23790,"Newhall Ave",,,Newhall,CA,"Los Angeles County",91321,US,"Los Angeles (Los Angeles County)"
"Pennsylvania (PA) : PA JB : Forbes & Atwood - 787","3618 Forbes Ave, Pittsburgh PA 15213-3407",5/1/2024,5/15/2024,,40.440941,-79.957605,1,rooftop,3618,"Forbes Ave",,,Pittsburgh,PA,"Allegheny County",15213,US,Allegheny
"Florida (FL) : N. Dale Mabry & Linebaugh - 15732","10002 N Dale Mabry Hwy, Tampa FL 33618-4410",5/1/2024,5/14/2024,,28.040502,-82.505356,1,rooftop,10002,"N Dale Mabry Hwy",,,Tampa,FL,"Hillsborough County",33618,US,"Hillsborough (Hillsborough County CC BY 4.0)"
"Oregon (OR) : Lancaster & Silverton - Salem - 14370","3270 Lancaster Dr NE, Salem OR 97305-1352",5/1/2024,5/14/2024,,44.967428,-122.983165,1,rooftop,3270,"Lancaster Dr NE",,,Salem,OR,"Marion County",97305,US,Marion
"Iowa (IA) : Davenport - 53rd & Elmore - 13972","3120 E 53rd St, Davenport IA 52807-3014",5/1/2024,5/14/2024,,41.575322,-90.527916,1,rooftop,3120,"E 53rd St",,,Davenport,IA,"Scott County",52807,US,"Statewide IA"
"Minnesota (MN) : Chanhassen - Dakota Ave II - 2450","190 Lake Dr E Ste 140, Chanhassen MN 55317-2014",5/2/2024,5/14/2024,,44.860567,-93.526584,1,range_interpolation,190,"Lake Dr E",Ste,140,Chanhassen,MN,"Carver County",55317,US,"TIGER/Line® dataset from the US Census Bureau"
"New Hampshire (NH) : Stratham, Portsmouth Ave - 59156","20 Portsmouth Ave, Stratham NH 03885-6528",5/1/2024,5/14/2024,,42.9963,-70.922528,1,rooftop,20,"Portsmouth Ave",,,Stratham,NH,"Rockingham County",03885,US,"Statewide NH"
"Illinois (IL) : Pekin-Court & Veterans - 10592","3442 Court St, Pekin IL 61554-6235",3/19/2024,4/26/2024,,40.542571,-89.597377,1,range_interpolation,3442,"Court St",,,Pekin,IL,"Tazewell County",61554,US,"TIGER/Line® dataset from the US Census Bureau"
"Wisconsin (WI) : First & East Washington - 71703","1896 E Washington Ave, Madison WI 53704-5202",3/19/2024,4/24/2024,,43.09232,-89.359751,1,range_interpolation,1896,"E Washington Ave",,,Madison,WI,"Dane County",53704,US,"TIGER/Line® dataset from the US Census Bureau"
"Pennsylvania (PA) : PA JB : Squirrel Hill Forbes & Shady - 751","6304 Forbes Ave, Pittsburgh PA 15217-1717",3/19/2024,4/18/2024,,40.437735,-79.91913,1,rooftop,6304,"Forbes Ave",,,Pittsburgh,PA,"Allegheny County",15217,US,Allegheny
"Maryland (MD) : The Shoppes at Shipley's Grant - 13809","5715 Richards Valley Rd, Ellicott City MD 21043-7589",3/19/2024,4/18/2024,,39.21433,-76.802725,1,rooftop,5715,"Richards Valley Rd",,,"Ellicott City",MD,"Howard County",21043,US,"Howard (PD)"
"Ohio (OH) : North High and East Torrence - 9278","3580 N High St, Columbus OH 43214-4041",3/19/2024,4/18/2024,,40.035038,-83.01639,1,rooftop,3580,"N High St",,,Columbus,OH,"Franklin County",43214,US,"City of Columbus"
"Wyoming (WY) : Dell Range and Windmill Rd - 6515","2518 Dell Range Blvd, Cheyenne WY 82009-5273",3/19/2024,4/17/2024,,41.160485,-104.77919,1,rooftop,2518,"Dell Range Blvd",,,Cheyenne,WY,"Laramie County",82009,US,Laramie
